,Seq1,Seq2,Seq3,Seq4,Seq5,Seq6,Seq7,Seq8,Seq9,Seq10,Seq11,Seq12,Seq13,Seq14,Seq15,Seq16,Seq17,Seq18,Seq19,Seq20,Seq21,Seq22,Seq23,Seq24,Seq25,Seq26,Seq27,Seq28,Seq29,Seq30,Seq31,Seq32,Seq33,Seq34,Seq35,Seq36,Seq37,Seq38,Seq39,Seq40,Seq41,Seq42,Seq43,Seq44,Seq45,Seq46,Seq47,Seq48,Seq49,Seq50,Seq51,Seq52,Seq53,Seq54,Seq55,Seq56,Seq57,Seq58,Seq59,Seq60,Seq61,Seq62,Seq63,Seq64,Seq65,Seq66,Seq67,Seq68,Seq69,Seq70,Seq71,Seq72,Seq73,Seq74,Seq75,Seq76,Seq77,Seq78,Seq79,Seq80,Seq81,Seq82,Seq83,Seq84,Seq85,Seq86,Seq87,Seq88,Seq89,Seq90,Seq91,Seq92,Seq93,Seq94,Seq95,Seq96,Seq97,Seq98,Seq99,Seq100,Seq101,Seq102,Seq103,Seq104,Seq105,Seq106,Seq107,Seq108,Seq109,Seq110,Seq111,Seq112,Seq113,Seq114,Seq115,Seq116,Seq117,Seq118,Seq119,Seq120,Seq121,Seq122,Seq123,Seq124,Seq125,Seq126,Seq127,Seq128,Seq129,Seq130,Seq131,Seq132,Seq133,Seq134,Seq135,Seq136,Seq137,Seq138,Seq139,Seq140,Seq141,Seq142,Seq143,Seq144,Seq145,Seq146,Seq147,Seq148,Seq149,Seq150,Seq151,Seq152,Seq153,Seq154,Seq155,Seq156,Seq157,Seq158,Seq159,Seq160,Seq161,Seq162,Seq163,Seq164,Seq165,Seq166,Seq167,Seq168,Seq169,Seq170,Seq171,Seq172,Seq173,Seq174,Seq175,Seq176,Seq177,Seq178,Seq179,Seq180,Seq181,Seq182,Seq183,Seq184,Seq185,Seq186,Seq187,Seq188,Seq189,Seq190,Seq191,Seq192,Seq193,Seq194,Seq195,Seq196,Seq197,Seq198,Seq199,Seq200
Sample1,19.09441399,43.70517248,2.11514365,35.62431755,32.03268405,52.54023286,35.44695353,36.65283544,41.95786778,55.06203958,24.16533971,28.76775681,40.16927938,47.26989571,50.76959389,63.16836182,49.56618721,36.96305755,38.25896013,53.15388203,37.14781009,22.04073097,51.33263108,37.82349659,47.51331346,51.40206739,53.08974386,57.37632808,78.06180502,46.04615938,79.42937562,64.61143791,62.69233015,92.07203597,71.65053871,58.42782142,95.50386685,88.37865746,80.8521754,56.42440249,96.19532026,89.46490988,50.23315221,56.20002776,90.46551671,71.22959887,78.89225369,75.45346027,62.91319731,52.57144315,77.22817574,57.48337262,71.53701093,51.9890674,98.23951834,88.58833962,86.13550669,52.18099453,89.92477769,75.96683023,63.50712576,95.64563739,101.3823377,58.81719894,103.8501926,84.08128981,89.11046111,79.33767653,65.76290553,76.58611699,87.40727925,94.82636005,77.04332652,111.1581452,86.77078199,97.1812022,93.68937045,101.5952507,93.29880637,71.5,125.2987936,107.1951483,107.8890248,97.08038278,113.5691813,97.05537876,115.5389326,136.8197996,101.4979356,115.473296,109.1458349,113.4155058,114.1822615,110.1460536,96.10683314,104.86455,3.819153388,133.9705914,-18.28118864,133.8637595,123.4053813,128.943621,90.37842202,101.2097268,95.43747672,126.1616121,102.0820723,97.99879565,14.61171929,97.02077939,-0.774088976,126.8270482,140.4241237,13.71706944,5.205815969,-16.50970717,6.570428409,-11.95385004,22.31738358,112.2840542,21.24608566,9.903400552,-0.644079633,114.9035654,-6.153745139,18.88390669,27.11643775,115.4437637,27.96579917,4.18245749,1.593650971,-3.400709218,13.99928699,18.19354857,27.98198344,-1.835501538,29.14099946,8.111391261,32.27557772,1.233461736,-1.815054709,30.72992949,15.26831457,3.4,27.92488445,22.84286589,38.55384162,13.05770832,9.954362103,40.04369859,8.525612956,19,25.46675421,5.525769852,12.37694101,36.02016171,25.65532596,24.08232786,43.30106168,36.51142198,15.71330365,12.90660207,33.29121314,24.06703347,10.43396042,34.79189223,15.14072815,28.28036851,36.21071489,40.13167019,24.8431388,37.14502666,39.83724142,26.51969257,34.79229154,51.45495182,31.30758912,15.15012142,42.1824692,27.20455543,20.21630579,53.21764876,29.80851568,42.78884094,48.55856205,21.51761971,49.66595797,36.6035243,19.13026966,54.04614862,27.75111941,33.44514402,29.12818823,49.60022173,45.66121811,46.11115496,42.55001388,50.97778052,28.99444462,18.2
Sample2,17.6045872,65.41706654,27.32877157,19.93969247,53.64981922,17.65914168,34.56764952,11.07533225,38.48217921,38.98817955,23.79332227,56.39759617,67.80098986,62.20349179,48.20509018,70.50577308,68.20552833,62.20434358,64.80220626,46.89910359,59.69502257,18.88995,51.88387244,40.37677622,60.76864744,83.45947196,75.94923542,39.93792318,59.22552036,54.21201184,89.09738222,68.78161583,70.86469674,44.34660874,57.22733533,62.90685972,96.78516484,47.0622333,56.33804741,64.81258918,56.18584029,79.55778208,72.42839559,98.89766149,66.96556012,52.83207147,69.29717516,70.16085046,74.72307625,61.08383102,96.44309291,50.80083961,72.55704844,67.01169631,49.36475968,98.0162146,71.16603668,114.1142011,112.1606825,98.10545518,103.3484929,94.98976889,97.42925599,104.6669264,84.30275203,98.836704,63.86875305,82.29886935,99.12702251,95.35318156,88.17731498,63.19939064,98.11937581,65.23723716,105.7529407,114.9664519,78.47773549,107.4867555,129.8934755,103.8978581,107.8998654,96.59945873,98.19659868,108.4912451,117.0833572,91.27289327,135.8598109,83.64406688,100.8256172,108.904417,109.3804207,122.5535817,101.1238526,99.49118525,129.6555304,115.5168381,95.37505739,101.8301363,126.982022,101.6306607,-23.72400234,0.217977051,121.9565421,118.6916351,120.9231972,95.25116841,117.275488,137.9960938,115.0129229,8.025911024,130.8349929,135.2401023,7.741171466,-18.76186812,126.0309137,95.11944599,129.8036566,4.383472203,112.7588184,126.6296194,-13.60420161,17.85727737,129.013977,136.865817,140.3127155,118.1545897,15.89135567,124.2229281,27.94922047,2.97014528,-1.614386292,10.1955358,27.99982047,26.19837546,23.59110744,34.57792193,14.75872341,14.93341528,13.90189992,35.66407871,38.21985203,2.769119367,11.31177928,15.44772946,26.7768668,30.89908742,12.2142867,15.92235936,34.4231995,39.31670068,27.00275594,6.681257919,21.95209888,38.01517081,31.67036549,29.71757457,29.35668965,28.58760241,22.61020461,37.82438829,14.6300458,10.6270699,42.21535392,29.79479181,30.16527827,16.52670888,26.8789802,25.62198987,47.15563677,15.47982112,32.19444461,50.49941051,29.59462381,34.67999137,44.95542201,24.42082665,41.07611845,52.12121292,20.35602808,29.38048454,51.99450566,50.99801764,34.79094968,51.77323405,27.14480624,18.90560506,22.65557271,29.99465495,37.32280111,18.23996427,32.74610126,38.44117279,16.52514352,34.59798209,33.85966121,26.71015771,51.94945256,48.77753093,47.5943822,53.2
Sample3,12.81093777,26.12512836,25.03855766,38.85121597,35.26309341,55.77417997,43.98446544,62.49393948,34.10259155,68.31041096,58.71738682,32.32350807,47.72876349,63.53314164,37.4366309,38.33921946,18.4408953,38.14164623,29.84145981,66.94032342,55.43822421,81.93514913,53.43108489,76.12601798,51.21993465,81.51282093,55.5046626,58.69544519,54.58515398,59.373774,73.46129002,78.34768654,63.13294779,37.21705772,69.5,55.38175801,86.46231485,82.14165329,52.81975583,79.09660463,70.17218155,71.6464681,84.81944549,62.89109458,56.96139588,57.83032954,48.19787537,105.6640128,71.72872089,49.59197833,81.2537634,92.214054,104.7728276,103.6300613,59.88573173,79.73981512,80.19228725,88.94312346,112.6922986,99.13978713,69.08556294,95.6295995,91.07186975,78.41234615,76.35100062,93.68780458,102.6227289,87.25574388,112.6868193,92.71592437,107.1430277,119.1680973,81.09110058,69.01200437,108.4307748,94.64737753,101.0617773,105.0739384,120.0838244,88.3913981,115.2966217,105.8994565,74.29986339,97.99780221,91.9932322,92.68611178,132.4763986,120.3640495,127.2490205,111.9312668,97.81074274,82.18740186,99.06119677,127.1320792,82.1,107.7649091,115.7267554,-6.514512952,83.54105106,105.9933936,133.9424596,119.4881934,89.33053791,125.3694352,125.2048263,109.2366512,-10.63515142,11.6893563,122.610111,128.4270482,115.1401023,-17.45079349,5.654293004,-1.644707322,-14.94786471,95.84474939,-5.566937632,111.2170004,127.8964883,12.47145002,17.94180789,17.00748323,114.9683961,1.92446517,-10.62439189,18.82174119,135.1627795,0.498636772,13.9292257,18.95445763,25.57424268,32.5884898,7.197106729,30.2,33.59707499,21.38823593,15.5733859,20.95242687,8.325259748,13.69178435,7.851899498,4.00550299,9.352491684,32.69276152,30.42620755,14.15272401,23.07220435,27.98454129,8.889626881,4.187352569,21.07760924,11.96028731,32.43527678,38.1024673,35.7617483,7.81300899,40.25613853,24.29102605,28.31756081,41.53563221,12.34512999,22.34594427,23.93796566,49.52108541,49.89519548,15.06018868,48.6159588,23.76240071,16.09941051,49.62688561,24.34472492,45.05282896,18.55109995,26.83944202,45.51776129,48.18596599,53.24396667,22.69167624,20.12901017,23.55588662,45.77222651,25.17795371,39.77299514,44.7572809,34.13074437,35.89332236,30.84495517,17.38558676,51.91516477,42.0336407,31.34096994,21.43711186,48.72202993,23.19569172,51.658069,41.30913782,34.14887849,30.17727566,40.99431837,31
Sample4,31.91344425,51.72933625,5.344479987,45.15886589,64.57248421,8.08532506,38.19737838,44.00863395,58.21908138,68.32871011,68.43750939,37.14546831,35.35257577,37.4588205,25.064191,64.96867563,63.47226251,16.17493958,32.77669458,44.47751502,61.47738822,48.57630127,68.87424103,68.97119417,86.26714708,60.66208596,59.85599674,75.64886511,54.94067654,51.5314162,43.82106903,71.70961969,58.8970526,54.98335186,48.66850132,33.05248453,97.73528475,65.41688495,77.49726778,60.17641559,43.8543104,78.83093392,103.0062675,78.98029224,83.15298877,82.42433746,89.69431827,71.56291084,54.43009439,50.0958478,53.76014953,94.02297766,83.58430985,92.94412337,93.30239505,102.2591013,69.81421805,93.06772085,100.8195847,65.56978432,90.4182937,83.96508651,116.2101359,99.85341441,107.3948942,81.43454691,86.2723435,88.70825448,94.04224979,100.2742988,104.8043702,126.5324323,106.8584527,117.7823981,114.2042351,102.6239293,130.2414456,94.05674857,122.2698017,129.0805681,98.58900991,115.0950888,104.9987654,89.4,122.2987517,109.8949792,92.98864,76.87969116,119.0680887,127.0537879,106.5367432,98.81690802,97.99423507,104.7686761,-28.15981813,93.10870234,8.974186448,3.336582171,133.4958365,101.3518955,-5.595295819,136.9542065,98.00034536,1.04306271,127.0822994,4.917995019,-17.54991166,111.3785168,129.3032169,3.02412373,14.94117147,12.854293,7.963420074,22.66848321,8.169411742,113.7661338,-14.84142381,103.5466646,24.93032346,-7.190524155,-5.315956363,133.0539474,106.5191066,122.7794391,0.934861686,13.98528991,123.9306379,115.7708187,5.905743691,6.935323401,5.15946686,0.978081886,11.59107504,27.39835166,11.59981584,19.79537047,3.18491726,-1.431643252,29.54558833,20.51651028,25.08101979,22.43901301,34.19038506,4.735030083,30.07284129,12.203711,34.72753071,4.044191089,19.75358212,21.05559308,23.55011267,30.83702903,26.51622985,14.98760241,25.8510337,35.10641047,38.35361934,33.59254687,47.62307969,30.44510456,13.25850851,33.2631789,50.4590036,36.84587104,19.22367036,28.39229154,33.95162548,47.5015642,49.44200089,44.5728301,52.49394786,43.60525179,47.9066413,51.79801764,19.27928414,38.35034626,20.6111118,15.66149099,33.10139666,52.93074437,33.94945256,23.35744263,23.95463915,29.34096994,47.51636618,25.6807626,44.23409752,43.17631299,28.90735493,40.62717316,54.33572158,28.03295816,38.1188451,38.19334888,29.05644028,23.50809452,37.14829123,37.97701453,22.39425306,33.2
Sample5,38.81208521,30.22966855,47.94651666,51.96262009,11.57796923,29.29255432,24.20636545,25.61939253,51.4316253,63.94305334,62.45366606,60.96345267,23.67240224,55.98050361,24.68774547,16.79411628,66.99960435,49.00419776,21.90788439,55.71065191,80.3124878,58.31337931,46.31331346,43.71227706,31.71025668,40.60723867,58.30320914,76.89815394,76.29205868,43.08490873,77.9766892,74.06738491,55.65698043,84.34546007,90.43280784,67.21900745,91.40404237,46.48789571,98.37055032,70.45198873,64.03219313,71.31114543,66.48882716,62.16521957,56.34030351,78.71405952,92.08646776,82.95750803,85.42715977,74.29540203,106.0622135,109.7275723,73.29145647,103.8538434,75.71471001,75.97403302,107.2317885,65.18795224,69.14249941,76.79540481,69.74664274,85.49618701,81.94401093,106.2900873,73.13438845,80.2768861,72.31755148,109.7563553,61.59326753,78.02825785,110.9612952,68.09234779,99.0213835,107.4483694,98.27327197,128.796057,113.1166898,94.33513474,93.15135568,93.46531573,80.27697728,126.886302,91.09325085,105.197784,104.4998607,134.4994398,108.2964789,103.6909351,109.2827646,109.9719226,81.85836359,130.8420412,86.62290796,1.300915754,104.1760154,8.448156737,4.417288744,120.8833594,116.0463155,103.7061032,95.96266741,110.8159519,137.9658995,123.9124521,113.3555503,122.1951335,99.63114037,1.063508069,11.39217277,-7.482930557,-3.961868118,-12.44470732,-9.731516789,10.97763364,131.3826729,3.983528583,-3.719872825,-4.22760622,21.26025224,139.6436251,22.62243366,17.69659781,116.4660362,15.43066612,-5.109596441,116.0451632,7.394858273,12.43940086,24.67870159,20.91266979,21.5412135,32.96423941,7.18165292,7.393358137,-1.600742112,11.79925373,7.193245993,35.38113375,30.36281491,38.93818617,38.7071431,33.26958016,18.22539072,19.97446711,42.91670068,16.2519818,13.58019996,21.30124379,43.01500113,16.32135908,31.22020408,8.911421982,12.59489809,18.67051728,46.73816404,19.99772259,48.44907697,44.49211109,40.52670888,25.75275439,37.77013184,41.37872581,43.77842129,22.96910383,40.55065967,52.52297583,44.08594027,45.23944202,41.58337132,49.51761971,15.84208024,34.95664756,45.66121811,31.95569022,17.43996427,24.91394286,54.37753093,46.23063592,44.87316791,26.30503978,28.12616734,45.93646945,38.13586822,20.72428909,56.90166096,46.66791636,57.22299154,44.96682662,50.29936563,35.62055671,28.53035215,25.82870847,27.51558658,39.59095175,30.85477378,53.707027,30.14769033,46.97674733,41.79418624,33.8
Sample6,39.90683929,26.52610367,27.74464584,65.66245648,24.47952614,33.09584518,42.71140382,44.82619211,44.24019994,35.35341704,37.26583293,41.27743701,64.58821845,43.19816627,68.90726928,30.11551613,40.52289525,53.12939488,53.23500306,43.63970763,47.5434962,50.44635618,37.64827477,37.24923894,51.34923542,63.64825072,78.54627111,89.84328263,48.13927105,71.23422191,81.72812048,38.42095178,41.71270054,80.00335124,64.89288807,88.98129494,69.66855546,80.65465297,98.03957047,51.52329068,72.20579599,50.48706847,65.36708987,47.84584159,59.5233047,58.09945992,82.1742876,83.84776774,60.61987996,65.9906035,90.95991722,48.02779957,112.2942286,85.45918196,85.52263686,75.28457009,64.044958,61.60377648,77.86100097,64.91660646,95.87056742,94.32285787,76.27345132,94.12232076,75.16943866,88.014777,88.85830716,81.7,103.0398258,94.37775433,118.0137547,103.6477953,113.1798443,98.80986874,113.3378354,102.9637103,102.0874587,85.60904533,89.72843411,73.6455883,120.6604705,90.17304239,94.88326515,101.091099,123.0965035,107.7994374,108.8998586,94.99772406,110.9929902,93.38561226,96.07554486,83.66274159,120.4471552,104.5287374,113.6074391,124.8832103,110.0559998,113.1257555,1.39242446,102.6559525,95.41628454,-5.126635661,92.52713464,105.3775371,-10.07548784,13.86799931,99.10793676,113.9442616,20.47690977,116.905816,121.2309137,21.05213529,2.569411742,104.5826729,6.391847198,16.69686197,99.49764312,-1.105884697,0.786201833,17.4738247,8.156904557,120.5353607,13.10911109,113.0780723,7.642159512,139.6012866,25.35536604,26.80430888,5.448024848,-2.713577728,-0.080591887,33.34688796,1.168766061,10.98494529,12.7953272,-0.20018797,12.79829869,8.190684823,16.3768668,22.95673977,2.730197642,18.49713318,31.85743798,24.01100256,25.35771634,21.49746776,44.83014425,16.95563237,42.67381779,29.18458538,44.08781931,20.18340305,46.67121951,32.75115107,27.22307969,16.886887,25.34245437,14.58966301,17.4283941,23.85852886,40.67994867,38.69253521,19.49617052,23.49073719,35.87611845,50.25219828,28.2188616,50.57599436,34.12348371,37.66121811,25.18908752,50.70698351,38.61479943,42.51243057,31.99977427,50.67673013,39.74320015,41.19908884,47.04430344,22.07875402,52.70235365,24.11501856,48.71666827,24.50722574,46.68661749,43.65477378,31.81162869,57.15712027,27.29119065,58.21378616,25.12485741,48.02435945,35.31225176,48.18849843,55.45306817,35.5059344,43.9470753,20.37647384,31.59411785,32
Sample7,36.7976852,44.51862005,17.03884573,51.55835304,43.27713265,57.39517508,33.21247068,40.02900964,39.244782,42.25977761,24.67398616,59.28739718,61,41.91178378,50.32273749,25.23284992,44.74210967,63.55050511,38.05802447,48.66465571,48.17038664,35.57520481,72.87909759,28.48205211,31.38405527,33.08509374,60.38515398,53.88422218,52.68228429,72.47932602,77.27533283,46.17028989,69.46418214,83.65699422,47.54871051,58.4393151,41.72879179,70.21712409,76.5042952,71.69028803,74.17508515,99.15866883,52.24102101,68.32212328,87.7019569,50.08050279,85.45774151,97.63365323,88.40821779,90.08141462,76.85322277,87.42362091,77.39258729,84.46009974,100.8261357,107.7906721,64.5536856,64.51515221,93.5750476,105.1333469,89.29002494,66.34505579,86.1984132,100.9500704,118.7,96.24817421,97.89456462,102.7391423,97.58187766,109.6227407,83.96170067,81.29872633,111.0337858,82.16684643,118.9978752,92.62683819,127.553701,93.37842831,92.20098439,108.6213326,128.4394357,122.7552555,115.5687534,116.8798897,115.988624,77.49491535,109.5987216,106.5,89.0987069,117.0947978,83.88822725,113.478949,-17.43308421,93.8520795,92.23439101,121.5138003,95.79025619,113.0637067,-5.565901207,-19.19862174,133.3654899,-2.873622402,126.8839839,-17.76174975,127.5891172,-13.06347607,128.6804086,-17.57929202,16.35735791,-0.109707172,106.319446,17.74474939,-15.13386622,122.8835286,98.79686197,19.80606076,128.2110505,6.811755273,118.008098,123.9,142.1873814,126.870161,17.04825583,3.721581932,12.79005373,25.45358425,-5.087914887,-0.034533488,27.41363721,24.45650454,5.893974408,0.525951311,13.15233832,16.57303711,30.78794795,-0.60303026,12.8,18.19693491,39.98766933,21.3720968,23.9501096,4.921598759,26.68645411,15.64456429,39.39581682,20.34009814,43.27729363,10.60728772,14.72996388,40.84520472,26.15289207,37.85290702,31.54512999,23.22944085,22.50571895,43.77384327,28.23369245,44.28514495,21.92807908,51.9623732,17.58790576,36.40455543,23.61220125,42.01072273,50.4,52.37991393,41.55034626,31.11117978,54.66229844,34.60358752,31.33493375,17.65622552,51.96735298,23.86820825,34.95868554,54.83868133,57.50809452,30.56682662,34.81478186,51.45186742,29.27799352,19.09307362,29.69702456,41.08976669,36.87122408,23.44132458,45.6,20.54718626,40.28282347,43.60685607,44.11923296,36.21990756,31.10883795,34.78598691,23.65132205,51.30481583,60.14644564,54.97619385,52.19404783,36.2
Sample8,43.98460166,57.80719621,17.42909459,23.85028776,36.77076653,54.69052154,60.00954329,38.12782212,56.94534819,26.16211152,42.47810194,31.59330911,40.10772253,54.8213315,23.13412516,44.54609243,60.65722208,47.06750264,82.17692248,63.48546976,47.99313241,85.69989817,57.30575456,37.81068889,64.71468822,66.41773941,40.51982906,79.02094356,65.82106903,41.22019135,89.41829616,59.31536883,53.41139445,69.60635787,51.70024364,34.49303604,59.78471906,94.4752764,50.46469146,86.25294732,81.14002676,98.02591224,77.5105859,78.79402953,81.77622459,77.75715219,69.63679309,84.51512768,94.19213599,80.06779766,94.34209195,71.41499772,87.88649343,103.7565571,77.82516647,85.69229861,62.15793034,111.222038,85.0845973,79.24558378,56.00497228,103.4627372,87.51885255,97.37329163,87.52602737,105.1770321,91.62627771,107.6737354,119.4193758,97.66316912,117.1050848,89.44509185,93.78315848,94.21925239,83.95334059,111.1853895,83.61536468,120.8432313,70.76895352,86.09249505,105.0138187,86.83288663,88.84966016,107.8640999,125.3761656,125.0858163,115.8930102,112.2977045,95.7998557,105.8994194,-0.403649586,116.4906024,118.0821282,102.0708798,112.8568082,-17.26013678,89.61999395,125.6971483,103.2712732,94.74231458,-13.78978288,0.574924567,129.9363795,110.1945234,127.8492965,1.60063796,9.948485769,94.39277664,109.9334461,127.4704284,105.0036566,14.43306237,-9.641423811,135.5801272,0.597643121,-3.888949525,27.22027432,124.4252384,11.82586495,23.32207497,116.5137879,-0.499078135,6.183393444,17.66111783,21.13400874,16.20197843,8.864937689,35.12279581,33.77546063,13.6228385,30.66483428,2.90135136,36.33229167,30.95755567,26.37704235,0.590649272,36.79827257,34.99980695,5.595145745,39.38418091,7.166803055,6.542901483,7.112364215,28.07507803,38.2309285,39.57980004,46.52157597,25.45613853,36.78336898,30.50314763,27.01535392,29.5198665,10.01656328,20.50532154,16.18601798,49.45852886,34.32273004,20.37849711,50.42570551,46.46423062,34.09394786,45.71473284,34.1264615,27.32901017,27.3222558,39.30607601,47.68034931,28.04495517,19.59977427,53.94468855,35.07958144,27.40433801,22.5188451,38.82299154,31.91666827,36.99976852,56.872188,35.13382505,37.38458083,24.42435945,54.65306817,30.87061757,58.27692168,47.67189816,38.25546846,58.82755795,21.38809608,27.53701651,27.27425724,48.59976077,43.11347414,44.41534913,37.70534231,23.38341511,23.84953398,53.90367036,26.74580083,59.97590711,30.39397612,45.2
Sample9,56.0675675,20.4918107,19.81537075,36.33823873,53.3604056,70.28186213,49.90259897,35.62260659,16.04187531,45.46039528,42.8781565,39.99514877,69.11136173,42.62678484,57.2414074,29.65521848,30.26820701,20.68036169,48.49167104,51.80212337,64.3117068,74.02040923,56.92821834,62.73512161,69.54110628,60.94615938,68.15026769,75.05341777,89.65559592,49.6567882,42.45698043,32.55615817,60.25430669,53.55141102,63.24745592,44.94242585,48.23630498,53.12907722,66.92072615,71.11123506,75.10058692,69.9887644,89.77574983,93.0615252,68.94607219,89.9293721,91.3114059,55.5921542,90.57159723,75.34971483,79.52648648,85.20189126,82.57590784,109.4485145,70.51968904,76.78940891,88.75765107,71.62439206,54.78960793,66.4532743,72.51536628,70.97585851,95.83472513,95.59193975,92.84747549,99.30130491,111.7534,98.70373235,91.45227274,82.29899155,101.5438585,79.88684267,66.72791263,70.36703622,75.20418066,95.03931253,111.7723977,118.2034014,100.6322881,113.8590216,109.9835649,122.4058804,78.62592957,136.4436731,123.1590711,97.87208255,85.08266583,125.9907784,89.89637686,-7.800583089,-31.40014663,107.0976401,97.99273017,119.8850755,-27.82537296,103.061335,105.9451482,-0.673985192,-25.09611831,100.9786947,125.7503987,108.9189372,-4.815747055,-4.853712817,106.8049802,1.060270964,-16.18790264,112.660396,125.4051021,17.24614996,102.8834722,-10.88299963,15.84666462,112.6723938,0.894115303,19.61175527,-4.874761624,-2.165512115,19.73942565,8.839972067,19.53604609,-4.172434806,14.51444537,-6.803398875,25.47394545,0.546389828,32.01384422,17.07621707,18.13341528,23.58534422,20.23190773,22.07300812,19.10854614,17.33842106,28.76253061,6.180771008,39.59303698,39.79922179,5.199217224,10.59291363,29.58019996,5.760963764,27.53509125,18.1024673,9.862975536,30.41649833,17.76291688,23.50211125,28.03396042,11.75834237,21.47513413,26.38421184,15.68545086,15.77872581,36.66391071,22.34087901,46.00950373,24.86965755,51.32121292,53.36404218,50.19801764,28.62301178,19.83889729,43.04554729,55.4428354,42.63063592,17.40882397,37.37727566,29.33586822,36.88448019,28.42299154,44.75128391,19.46924071,18.97674733,22.47369132,44.75996255,58.23545339,30.50005889,59.95367698,46.59620862,24.42755795,27.84763255,22.45634352,56.2536057,60.03933781,45.01346263,57.97590711,23.32660258,41.86548483,50.79249429,22.90757611,37.8106803,54.30176187,47.98078084,34.84770241,52.10249699,47.3451403,54.97561338,62.19390267,59.8
Sample10,42.74656158,16.77244217,30.0976526,5.822184093,38.94602774,46.16917448,35.09161507,22.41334016,37.63434019,61.05460547,47.17412614,36.89289216,56.31089332,46.82811925,55.14455937,48.96020294,45.77503904,23.88905653,36.40224409,64.2145902,22.22608316,71.23671101,48.24646163,55.05532265,48.2632815,82.57032538,54.67644124,73.48161583,46.78583563,81.78908688,69.69135559,32.99262749,59.29288807,96.19212253,75.89031582,71.18745259,69.48351723,90.97849382,65.87236616,73.86511773,61.1567317,90.44719095,59.63647802,96.7245751,100.0114641,75.49712646,93.28154344,66.46469584,94.24656408,76.32712826,84.70636804,53.18426274,109.8607912,84.53593201,97.10966313,115.6819622,97.35280653,77.22217276,107.3900372,79.45637571,101.1211636,118.4843758,112.9459865,63.60596979,73.36429884,80.22094648,83.37588498,84.72908601,64.68052071,106.1301596,81.9779727,90.12392928,88.86799809,96.61014721,94.15034408,104.9885555,73.0247475,100.3588856,131.2909343,107.3208579,99.24861932,77.17418123,128.1975053,102.9185525,116.6372828,115.0536558,114.9676297,97.67916221,107.7882101,103.6947292,84.09867453,99.3,-6.801341275,106.5946028,102.4877834,91.27815052,121.7656534,107.2502399,-21.6681428,5.510451085,-2.114033632,99.55834672,124.7275346,110.3934715,18.95609747,3.715351473,-15.92882875,100.5234933,116.0722528,102.4173836,102.3588184,111.4964883,16.93032346,-2.339747757,110.0862018,104.008098,3.025864953,127.0394256,105.7487014,29.95361227,119.9540765,9.750011116,26.84133143,8.327951311,23.40978304,-3.113262644,21.55872341,30.22564879,34.08741949,19.94393992,8.995112894,7.64083964,3.881019792,31.7155514,24.74433092,14.16725326,15.58421174,12.59509816,41.59980276,30.5982143,19.19022004,10.97570577,6.354555885,44.92665335,43.09187981,11.65011556,48.20123968,9.145129993,26.8816632,25.81071489,29.13215963,35.24587104,41.75172185,44.24958401,23.13932873,21.22082665,32.49394786,31.75856205,15.81453861,24.66174675,53.10005562,27.12933442,55.54945256,53.96027978,47.16168633,31.15354304,56.73572158,37.50809452,53.47053557,39.82291971,56.96512335,24.49702456,23.21850318,55.52944105,25.42972219,37.31923296,51.59786226,49.46550173,23.72204591,61.16739247,49.40144232,52.42409988,31.43527321,32.83487419,56.22281869,59.59902677,40.16342279,26.31593562,24.45649873,62.58505039,59.10153376,24.80589702,54.0980935,42.57808178,30.24582574,39.10129471,49.54446348,34.7753124,43.9938274,34.8
